family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Transcoding/length	simdutf::convert_latin1_to_utf8_safe	size_t (const char *, size_t, char *, size_t) noexcept	include/simdutf/implementation.h:868	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	ConvertLatin1ToUTF8Safe	func ConvertLatin1ToUTF8Safe(input []byte, dst []byte) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	bounded: writes as many complete output units as fit and returns written count; 0 when conversion is impossible	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no convert_latin1_to_utf8_safe occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no convert_latin1_to_utf8_safe occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no convert_latin1_to_utf8_safe occurrence under src/arm64 at pinned tree	tests/convert_latin1_to_utf8_tests.cpp;tests/span_tests.cpp	fuzz/misc.cpp;fuzz/safe_conversion.cpp	not_applicable: no convert_latin1_to_utf8_safe occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_latin1_to_utf16le	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:907	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertLatin1ToUTF16LE	func ConvertLatin1ToUTF16LE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_latin1_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertLatin1ToUTF16LE)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_latin1_to_utf16be	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:938	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertLatin1ToUTF16BE	func ConvertLatin1ToUTF16BE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_latin1_to_utf16be_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertLatin1ToUTF16BE)	benchmarks/shortbench.cpp	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::latin1_length_from_utf16	size_t (size_t) noexcept	include/simdutf/implementation.h:966	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	Latin1LengthFromUTF16	func Latin1LengthFromUTF16(length int) int	input code-unit/byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no latin1_length_from_utf16 occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no latin1_length_from_utf16 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no latin1_length_from_utf16 occurrence under src/arm64 at pinned tree	tests/convert_utf16be_to_latin1_tests.cpp;tests/convert_utf16be_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_latin1_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_valid_utf16be_to_latin1_tests.cpp;tests/convert_valid_utf16le_to_latin1_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp	not_applicable: no latin1_length_from_utf16 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf16_length_from_latin1	size_t (size_t) noexcept	include/simdutf/implementation.h:979	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF16LengthFromLatin1	func UTF16LengthFromLatin1(length int) int	input code-unit/byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no utf16_length_from_latin1 occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no utf16_length_from_latin1 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no utf16_length_from_latin1 occurrence under src/arm64 at pinned tree	tests/convert_latin1_to_utf16be_tests.cpp;tests/convert_latin1_to_utf16le_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp	not_applicable: no utf16_length_from_latin1 occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_latin1_to_utf32	size_t (const char *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:995	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertLatin1ToUTF32	func ConvertLatin1ToUTF32(input []byte, dst []uint32) int	bytes ([]byte)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_latin1_to_utf32.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_latin1_to_utf32.cpp	src/arm64/arm_convert_latin1_to_utf32.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_latin1_to_utf32_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertLatin1ToUTF32)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_latin1	size_t (const char *, size_t, char *) noexcept	include/simdutf/implementation.h:1030	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	ConvertUTF8ToLatin1	func ConvertUTF8ToLatin1(input []byte, dst []byte) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf8_to_latin1_tests.cpp;tests/convert_utf8_to_latin1_with_errors_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToLatin1)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf16	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1067	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16	func ConvertUTF8ToUTF16(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1067; native-endian delegate to simdutf::convert_utf8_to_utf16le or simdutf::convert_utf8_to_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/atomic_base64_tests.cpp;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16be_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/helpers/test.cpp;tests/installation_tests/find/CMakeLists.txt;tests/installation_tests/from_fetch/CMakeLists.txt;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/straight_c_test.c	fuzz/conversion.cpp;fuzz/roundtrip.cpp	benchmarks/alignment.cpp;benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/src/cmdline.cpp;benchmarks/stream.cpp;benchmarks/threaded.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16le_with_replacement	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:1103	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16LEWithReplacement	func UTF8LengthFromUTF16LEWithReplacement(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is required UTF-8 bytes regardless of Error; Error is SUCCESS or SURROGATE as a surrogate-presence flag, not a validation failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/random_fuzzer.cpp;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp	fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromUTF16LEWithReplacement)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16be_with_replacement	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:1139	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16BEWithReplacement	func UTF8LengthFromUTF16BEWithReplacement(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is required UTF-8 bytes regardless of Error; Error is SUCCESS or SURROGATE as a surrogate-presence flag, not a validation failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp	fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromUTF16BEWithReplacement)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_latin1_to_utf16	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1169	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertLatin1ToUTF16	func ConvertLatin1ToUTF16(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1169; native-endian delegate to simdutf::convert_latin1_to_utf16le or simdutf::convert_latin1_to_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/convert_latin1_to_utf16be_tests.cpp;tests/convert_latin1_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf16le	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1202	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16LE	func ConvertUTF8ToUTF16LE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/installation_tests/find/CMakeLists.txt;tests/installation_tests/from_fetch/CMakeLists.txt;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF16LE)	benchmarks/alignment.cpp;benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp;benchmarks/threaded.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf16be	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1234	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16BE	func ConvertUTF8ToUTF16BE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16be_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF16BE)	benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_latin1_with_errors	result (const char *, size_t, char *) noexcept	include/simdutf/implementation.h:1273	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	ConvertUTF8ToLatin1WithErrors	func ConvertUTF8ToLatin1WithErrors(input []byte, dst []byte) Result	bytes ([]byte)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf8_to_latin1_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToLatin1WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
